TC ID,구분,우선순위,화면·영역,테스트 시나리오,사전조건,수행 절차,기대 결과,실제 결과,결과,테스터,이슈번호
COM-014,공통 UX,P0,공통 (결재선),결재선 조직도 동작,결재선 지정 모달 (2곳 이상),검토 [조직도]를 연 채 결재 [조직도] 클릭 > 같은 단계 버튼을 다시 클릭 > 지휘부(군수·부군수) 노출 확인,앞 패널이 닫히고 한 번에 하나만 열린다(정상). 같은 단계를 다시 누르면 토글로 닫힌다. 지휘부가 목록에 있고 표기가 「군수 김담양」이다(직위 중복 없음).,,N/T,,
COM-015,공통 UX,P0,공통 (결재선),기안자·기본 결재선 파생,상신 완료 문서 1건,박안전으로 상신 > 홍길동으로 전환해 같은 문서 열람 > 김중대로 전환해 새 기안 폼의 기본 결재선 확인,저장된 문서의 기안자는 상신 당시 사람(박안전) 그대로다. 김중대의 기본 결재선은 자기를 건너뛰어 「기안 김중대 → 검토 (미지정) → 결재 홍길동」으로 뜬다. 둘 다 정상이다(§4.4 ⑥).,,N/T,,
COM-016,공통 UX,P1,공통 (메뉴),GNB 11축 · 계층별 노출,페르소나 3계층,박안전/홍길동/김담양으로 전환하며 헤더 대메뉴를 센다 > 2뎁스가 있는 5개 그룹(기본정보·안전보건관리체계·안전보건교육·인력·예산·시스템 관리)의 사이드바 섹션 머리글 확인,박안전 11개 · 홍길동/김담양 10개(시스템 관리는 박안전에게만). 순서는 대시보드 → 기본정보 → 안전보건관리체계 → 위험성평가 → 안전보건교육 → 작업환경·건강 → 의견청취 → 인력·예산 → 업무 관리 → 통계·보고 → 시스템 관리. 섹션 머리글은 눌리지 않는다(링크가 아니다).,,N/T,,
SMK-001,기타 모듈 Smoke,P1,① 대시보드,통합 현황 진입,페르소나 3계층,대시보드 진입 > 김담양/홍길동/박안전으로 각각 확인 > 카드 클릭 > 결재 관련 카드 문구 확인,"계층별로 다른 화면이 뜨고, 카드 클릭 시 관련 업무로 이동하며 기한초과 건수가 목록과 맞다. 결재 카드는 「온나라 상신 중」으로 표기된다(이 시스템에 결재함이 없으므로 「결재 대기」라 하지 않는다).",,N/T,,
SMK-002,기타 모듈 Smoke,P1,① 대시보드,내 할일,배정 데이터 존재,내 할일 진입 > 탭 전환 > 항목 1건 처리 > 결재 관련 항목의 액션 라벨 확인 > 개선조치·업무 배정의 [조직도] 클릭,마감 할일/완료한 업무가 겹치지 않고 반려 건이 할 일로 되돌아온다. 결재 항목의 액션은 「상신 상태 보기」다(「결재하러 가기」가 아니다). 조직도 버튼이 오류 없이 열린다.,,N/T,,
SMK-003,기타 모듈 Smoke,P1,② 기본정보 > 관리대상,목록·상세·일괄등록,관리대상 데이터 존재,사이드바 「관리대상」 섹션에서 관리대상 현황 > 1건 상세 > 데이터 일괄등록 순회,두 화면이 오류 없이 뜨고 목록 핵심값과 상세가 일치한다. 사이드바에 「관리대상」·「시설물 (FMS 연계)」 두 섹션 머리글이 보인다.,,N/T,,
SMK-004,기타 모듈 Smoke,P1,② 기본정보 > 시설물 (FMS 연계),4화면 진입,시설물 데이터 존재,같은 사이드바 「시설물 (FMS 연계)」 섹션에서 시설물 대장 > 위험도 > FMS 연계 > 연계 설정 순회,네 화면이 오류 없이 뜨고 대장 1건 상세와 위험도가 연결된다. 시설물이 별도 대메뉴가 아니라 기본정보 안에 있다.,,N/T,,
SMK-005,기타 모듈 Smoke,P1,③ 안전보건관리체계,경영방침·조직·이행점검,관련 데이터 존재,세 화면 순회 > 이행점검에서 부서 행 1건 상태 변경 시도,"「해당없음」은 사유 없이 저장되지 않고, 「이행」은 증빙·위치가 있어야 저장된다.",,N/T,,
SMK-018,기타 모듈 Smoke,P1,③ 안전보건관리체계,경영방침 상신 → 회신 → 현행본,방침 버전 1건,[온나라 결재 상신] > 결재선 지정 > 상신 > 이력 모달에서 「결재 결과 회신 등록」으로 검토 승인 → 결재 완료,"상신 전 결재선 지정 모달이 뜨고, 회신으로 승인완료가 되면 그 버전이 현행본이 되어 이행점검·게시가 열린다.",,N/T,,
SMK-019,기타 모듈 Smoke,P1,③ 안전보건관리체계,이행점검 반기 마감 상신,점검 데이터 · 반기 선택,반기를 바꿔 선택 > [반기 마감 · 온나라 상신],"곧바로 팝업이 뜨지 않고 결재선 지정 → 검증 → 상신 순서를 거친다. 제목의 회차가 화면에서 고른 반기를 따르고, 상신된 회차는 버튼 대신 결재선과 상태를 표시한다.",,N/T,,
SMK-006,기타 모듈 Smoke,P1,③ 안전보건관리체계,도급관리,도급 데이터 존재,도급관리 진입 > 목록 > 상세,사업 정보와 하위 점검/평가 영역이 일관되게 연결된다.,,N/T,,
SMK-007,기타 모듈 Smoke,P1,⑥ 작업환경·건강,2화면 진입,관련 데이터 존재,작업환경측정 > 건강검진(일반·특수) 순회 > 1건 상세 > 부서 담당자 페르소나로 재확인,"한 대메뉴 아래 두 화면이 있고, 조회 범위가 소속 부서로 좁혀지며 관리감독자에게는 등록 버튼이 뜨지 않는다.",,N/T,,
SMK-012,기타 모듈 Smoke,P2,⑦ 의견청취,3화면 진입 · 점검결과지 상신,의견·회의 데이터,의견청취·건의함 > 위원회 > 협의체 순회 > 1건 상세 > 점검결과지 상신,"작성 내용·상태·조치 정보가 정상 표시된다. 상신은 결재선 지정을 거치며, 의견청취는 회신을 받지 않는 도메인이라 상태가 「결재중」 하나다.",,N/T,,
SMK-013,기타 모듈 Smoke,P2,⑧ 인력·예산 > 인력 평가,3화면 진입 · 상신 기록 저장,평가 데이터,사이드바 「인력 평가」 섹션에서 인력 평가 > 평가 현황 > 평가 설정 순회 > [결재상신] 후 회신 등록을 닫고 화면 재진입,"결재선 지정 시 3계정이 강제된다. 상신 즉시 부서 단위로 결재선·기안자가 저장되어, 회신 등록을 나중으로 미뤄도 상신 사실이 남고 상단에 문서번호·결재일·결재선이 표시된다.",,N/T,,
SMK-014,기타 모듈 Smoke,P1,⑧ 인력·예산 > 예산 관리,상신 → 회신 등록 → 집행액 입력,작성중 점검표 1건,같은 사이드바 「예산 관리」 섹션에서 예산 총괄표 진입 > 상신(결재선 지정) > 결재 상태 모달 > 「결재 결과 회신 등록」으로 검토 승인 → 결재 완료 > 집행액 입력 시도 > 예산 기준 설정도 조회,"결재중에는 편집이 잠기고, 승인완료가 되어야 집행액·비고 입력이 열린다. 회신 등록은 자체 결재가 아니라 온나라 결과를 옮겨 적는 자리임을 화면이 밝히고 처리자가 결재선에서 파생된다.",,N/T,,
SMK-008,기타 모듈 Smoke,P1,⑨ 업무 관리 > 이행 관리,이행 관리 · 엑셀 내려받기,이행 데이터 존재,이행 관리 진입 > 조건 적용 > [엑셀 내려받기],파일이 생성되고 필터 바 건수와 파일 데이터 행 수가 같으며 한글이 깨지지 않는다.,,N/T,,
SMK-009,기타 모듈 Smoke,P1,⑨ 업무 관리 > 문서 목록,문서 목록 · 부서별 이행률,문서 데이터 존재,문서 목록 조회 > 1건 상세 > 부서별 표 확인,분모를 낼 수 없는 부서는 비율 대신 「분모 확인 필요」·「원장에 문서 없음」으로 표시된다.,,N/T,,
SMK-010,기타 모듈 Smoke,P1,⑨ 업무 관리 > 기준문서함,진입 및 검색,문서 데이터 존재,기준문서함 진입 > 문서명 검색 > 1건 상세,"기준문서함이 업무 관리 사이드바의 정식 항목으로 있고(옛 「업무문서」 대메뉴는 없다), 검색 결과와 첨부 접근이 정상이다.",,N/T,,
SMK-011,기타 모듈 Smoke,P1,은퇴 화면,메뉴에서 빠진 4화면,—,사이드바에서 찾아본 뒤 주소로 직접 접속: docs-preset.html · docs-exec.html · work-admin.html · work-dept.html,넷 다 사이드바에 없고 주소로는 열린다. 열면 「이전 버전 화면」 부제와 대체 화면이 안내되고 「업무 관리」 사이드바를 달고 뜬다(대시보드 사이드바가 뜨면 FAIL).,,N/T,,
SMK-015,기타 모듈 Smoke,P2,⑩ 통계·보고,3화면 진입,통계 데이터,현황 통계 > 보고서·제증명 > 정보센터 순회 > 조건 변경,조건에 맞게 수치와 표가 함께 갱신된다.,,N/T,,
SMK-016,기타 모듈 Smoke,P2,⑪ 시스템 관리,3섹션 8화면 진입,박안전 권한,「사용자·권한」(사용자·권한·메뉴) > 「기준정보」(사업장·프리셋 양식·법령) > 「연계·알림」(연계·알림) 순회 > 메뉴 관리에서 등급별 보기·수정 설정 조회,세 섹션 머리글과 8화면이 오류 없이 뜬다. 메뉴 관리의 권한 설정은 조회만 확인한다 — 그 설정이 실제 GNB 노출을 바꾸지 않는 것이 현재 설계다(§4.4 ⑪).,,N/T,,
SMK-017,기타 모듈 Smoke,P2,공통 (단계별 안내),안내 투어 구동,헤더 [?] 접근 가능,네 가지를 각각 시작 — 정기 위험성평가(위험성평가 > 정기) · 수시 위험성평가(위험성평가 > 수시) · 안전보건교육(교육 9화면 어디서나) · 업무문서(업무 관리 > 이행 관리·문서 목록),"네 가지 모두 메뉴로 도달하고, 각 단계가 실제 화면의 버튼을 가리키며, 버튼이 없으면 그 이유(권한·선행 미완·조회 범위)를 밝힌다. 업무문서 안내는 ①②③이 이행 관리, ④가 문서 목록에서 일어난다.",,N/T,,
